dict,doc_types,norm,combo_label,target,oos_init_frac,best_spec,best_adj_r2,best_oos_rmse,best_cw_tstat,best_cw_pval
Gardner,minutes,zscore,Gardner_minutes_zscore,delta_rate_next,0.8,4e_total_interactions,0.4591,0.171131,,
Sharpe,minutes,wordcount,Sharpe_minutes_wordcount,delta_rate_next,0.8,4e_total_interactions,0.4409,0.164165,,
Sharpe,press_conferences,zscore,Sharpe_press_conferences_zscore,delta_rate_next,0.8,4e_total_interactions,0.4322,0.175644,,
Gardner,minutes,wordcount,Gardner_minutes_wordcount,delta_rate_next,0.8,4e_total_interactions,0.4136,0.163039,,
Sharpe,minutes,zscore,Sharpe_minutes_zscore,delta_rate_next,0.8,4e_total_interactions,0.4127,0.160703,,
Gardner,press_conferences,zscore,Gardner_press_conferences_zscore,delta_rate_next,0.8,4c_all_topics,0.4025,0.203536,,
Gardner,press_conferences,wordcount,Gardner_press_conferences_wordcount,delta_rate_next,0.8,4d,0.3983,0.187484,,
Sharpe,press_conferences,wordcount,Sharpe_press_conferences_wordcount,delta_rate_next,0.8,4e_total_interactions,0.3808,0.181445,,
Gardner,statements,wordcount,Gardner_statements_wordcount,delta_rate_next,0.8,4e_total_interactions,0.2981,0.31227,1.2067,0.1138
Gardner,statements+minutes+speeches+press_conferences,wordcount,Gardner_statements_minutes_speeches_press_conferences_wordcount,delta_rate_next,0.8,4e_total_interactions,0.2893,0.318475,1.3441,0.0895
Gardner,speeches,zscore,Gardner_speeches_zscore,delta_rate_next,0.8,4f_matched_interactions,0.265,0.296267,2.4398,0.0073
Gardner,statements+minutes+speeches+press_conferences,zscore,Gardner_statements_minutes_speeches_press_conferences_zscore,delta_rate_next,0.8,4f_matched_interactions,0.259,0.322595,2.1454,0.016
Sharpe,speeches,wordcount,Sharpe_speeches_wordcount,delta_rate_next,0.8,4e_total_interactions,0.2432,0.325184,1.2241,0.1104
Gardner,statements,zscore,Gardner_statements_zscore,delta_rate_next,0.8,4e_total_interactions,0.2426,0.347867,0.7923,
Gardner,speeches,wordcount,Gardner_speeches_wordcount,delta_rate_next,0.8,4e_total_interactions,0.2334,0.346701,-0.44,
Sharpe,statements+minutes+speeches+press_conferences,wordcount,Sharpe_statements_minutes_speeches_press_conferences_wordcount,delta_rate_next,0.8,4e_total_interactions,0.232,0.360081,-0.0862,
Sharpe,statements,wordcount,Sharpe_statements_wordcount,delta_rate_next,0.8,4b_consensus,0.2304,0.316245,1.0468,0.1476
Sharpe,statements,zscore,Sharpe_statements_zscore,delta_rate_next,0.8,4b_consensus,0.2299,0.317276,1.0845,0.1391
Sharpe,statements+minutes+speeches+press_conferences,zscore,Sharpe_statements_minutes_speeches_press_conferences_zscore,delta_rate_next,0.8,4b_consensus,0.2241,0.323542,1.6799,0.0465
Sharpe,speeches,zscore,Sharpe_speeches_zscore,delta_rate_next,0.8,4g_novelty,0.2219,0.324985,0.0387,
