dict,doc_types,norm,combo_label,target,oos_init_frac,best_spec,best_adj_r2,best_oos_rmse,best_cw_tstat,best_cw_pval
Gardner,press_conferences,zscore,Gardner_press_conferences_zscore,target_next,0.8,4e_total_interactions,0.9875,0.285837,,
Sharpe,press_conferences,wordcount,Sharpe_press_conferences_wordcount,target_next,0.8,4e_total_interactions,0.9865,0.421681,,
Sharpe,speeches,wordcount,Sharpe_speeches_wordcount,target_next,0.8,4e_total_interactions,0.9846,0.323392,3.5526,0.0002
Gardner,press_conferences,wordcount,Gardner_press_conferences_wordcount,target_next,0.8,4e_total_interactions,0.9843,0.329568,,
Sharpe,minutes,wordcount,Sharpe_minutes_wordcount,target_next,0.8,4e_total_interactions,0.9824,0.41274,2.2189,0.0132
Gardner,statements+minutes+speeches+press_conferences,zscore,Gardner_statements_minutes_speeches_press_conferences_zscore,target_next,0.8,4b_consensus,0.9817,0.343211,2.9175,0.0018
Sharpe,statements+minutes+speeches+press_conferences,wordcount,Sharpe_statements_minutes_speeches_press_conferences_wordcount,target_next,0.8,4e_total_interactions,0.9809,0.414103,2.7008,0.0035
Gardner,statements,wordcount,Gardner_statements_wordcount,target_next,0.8,4b_consensus,0.9802,0.478675,2.3749,0.0088
Gardner,statements+minutes+speeches+press_conferences,wordcount,Gardner_statements_minutes_speeches_press_conferences_wordcount,target_next,0.8,4b_consensus,0.9798,0.474191,2.5883,0.0048
Gardner,statements,zscore,Gardner_statements_zscore,target_next,0.8,4e_total_interactions,0.9797,0.352638,2.5789,0.005
Gardner,minutes,zscore,Gardner_minutes_zscore,target_next,0.8,4e_total_interactions,0.9792,0.343174,3.0186,0.0013
Sharpe,press_conferences,zscore,Sharpe_press_conferences_zscore,target_next,0.8,4e_total_interactions,0.979,0.474615,,
Gardner,minutes,wordcount,Gardner_minutes_wordcount,target_next,0.8,4e_total_interactions,0.9785,0.377648,2.2553,0.0121
Sharpe,minutes,zscore,Sharpe_minutes_zscore,target_next,0.8,4e_total_interactions,0.9779,0.420194,1.8928,0.0292
Sharpe,statements,zscore,Sharpe_statements_zscore,target_next,0.8,4e_total_interactions,0.9773,0.520155,0.8226,0.2054
Gardner,speeches,wordcount,Gardner_speeches_wordcount,target_next,0.8,4e_total_interactions,0.9771,0.417688,2.1724,0.0149
Sharpe,statements,wordcount,Sharpe_statements_wordcount,target_next,0.8,4e_total_interactions,0.9752,0.490713,1.432,0.0761
Sharpe,statements+minutes+speeches+press_conferences,zscore,Sharpe_statements_minutes_speeches_press_conferences_zscore,target_next,0.8,4e_total_interactions,0.9742,0.61472,0.6777,
Gardner,speeches,zscore,Gardner_speeches_zscore,target_next,0.8,4d,0.9734,0.404335,3.5933,0.0002
Sharpe,speeches,zscore,Sharpe_speeches_zscore,target_next,0.8,4e_total_interactions,0.9717,0.527909,1.9346,0.0265
